YNL152W	0.0548	0.464	0.1181
YIL045W	0.0346	0.3698	0.0937
YLR111W	0.1633	0.198	0.8247
YER171W	0.0035	0.3689	0.0096
YNL194C	0.0331	0.4371	0.0758
YDR041W	0.0537	0.3701	0.145
YGR268C	0.0749	0.2821	0.2655
YDR491C	0.1223	0.2958	0.4135
YJR074W	0.0569	0.2994	0.19
YEL036C	0.0089	0.301	0.0297
YBL076C	0.0111	0.2604	0.0426
YFL013C	0.053	0.3911	0.1355
YJL146W	0.0366	0.4525	0.0808
YDR176W	0.0412	0.3822	0.1079
YBL097W	0.0589	0.4704	0.1251
YDR510W	0.0003	0.3129	0.001
YJL014W	0.0035	0.3107	0.0111
YOR052C	0.0031	0.6107	0.0051
YDR168W	0.0367	0.4029	0.0911
YLR035C	0.0935	0.2765	0.338
YPR097W	0.0418	0.5293	0.0789
YER081W	0.0063	0.3181	0.0198
YCR083W	0.0361	0.271	0.1333
YJR046W	0.0495	0.4194	0.118
YMR008C	0.0179	0.392	0.0456
YER087W	0.0397	0.3662	0.1085
YDR299W	0.05	0.4234	0.1181
YKR006C	0.0824	0.3002	0.2745
YJL125C	0.0414	0.3378	0.1226
YIL159W	0.0484	0.3923	0.1235
YMR009W	0.0546	0.3704	0.1474
YNL162W	0.0001	0.0502	0.001
YOR367W	0.0414	0.3696	0.1119
YEL051W	0.0041	0.1724	0.0236
YPR005C	0.1183	0.4475	0.2643
YMR299C	0.1138	0.3339	0.3409
YOL065C	0.0549	0.3708	0.1481
YLR228C	0.026	0.4092	0.0635
YGR123C	0.0246	0.3853	0.0638
YNL016W	0.0109	0.2787	0.0389
YGL185C	0.0672	0.3303	0.2035
YMR170C	0.0314	0.5798	0.0542
YHR129C	0.0303	0.3829	0.079
YPL011C	0.027	0.4908	0.0551
YHR034C	0.0657	0.5146	0.1278
YNL290W	0.0148	0.4258	0.0347
YDR035W	0.0013	0.1448	0.0089
YDR420W	0.159	0.3897	0.4079
YFL009W	0.0296	0.3873	0.0764
YHR138C	0.051	0.3483	0.1463
YJL151C	0.0222	0.3896	0.0571
YBR283C	0.018	0.4276	0.0422
YGR202C	0.0116	0.378	0.0307
YLR297W	0.0736	0.4784	0.1539
YAR003W	0.0153	0.3312	0.0461
YDL213C	0.0154	0.4324	0.0356
YOL097C	0.0054	0.3052	0.0178
YDL051W	0.0123	0.2413	0.0509
YNL305C	0.0216	0.4732	0.0457
YPL029W	0.0365	0.4029	0.0905
YBR204C	0.0604	0.3582	0.1685
YNR032C-A	0.0078	0.3897	0.0201
YNL138W-A	0.026	0.6811	0.0382
YOR189W	0.1076	0.7104	0.1515
YDR279W	0.0975	0.4459	0.2185
YHL003C	0.0093	0.3281	0.0285
YPL022W	0.0375	0.3797	0.0989
YLR218C	0.0979	0.3598	0.2722
YKL075C	0.0436	0.4	0.1089
YKL191W	0.0507	0.3885	0.1305
YLR146W-A	0.031	0.2102	0.1474
YNL077W	0.0393	0.3902	0.1006
YDR240C	0.0791	0.3606	0.2192
YLR018C	0.0665	0.3733	0.1781
YLR069C	0.0142	0.3584	0.0395
YDR229W	0.0316	0.4183	0.0756
YGR210C	0.0072	0.2768	0.0259
YOR047C	0.0396	0.5664	0.0698
YDL207W	0.0413	0.372	0.1109
YBR151W	0.0425	0.4361	0.0976
YKL112W	0.0422	0.4392	0.0962
YBL011W	0.0272	0.3487	0.078
YGL219C	0.0233	0.3653	0.0639
YML014W	0.0501	0.3149	0.159
YKR057W	0.0065	0.1076	0.0605
YMR149W	0.0658	0.2683	0.2454
YLR178C	0.0275	0.379	0.0725
YML128C	0.0188	0.3734	0.0505
YPL095C	0.0297	0.3939	0.0753
YMR101C	0.0566	0.4399	0.1286
YER002W	0.0494	0.3979	0.1242
YDR243C	0.0657	0.5813	0.113
YCL047C	0.0441	0.3623	0.1217
YLR086W	0.0511	0.4378	0.1168
YBR241C	0.0237	0.3732	0.0634
YGR236C	0.0492	0.3948	0.1247
YKR054C	0.0649	0.4114	0.1577
YGL026C	0.0061	0.3261	0.0187
YGR070W	0.065	0.8906	0.073
YLR179C	0.0532	0.4702	0.1131
YLR348C	0.0126	0.3045	0.0412
YGR188C	0.0556	0.3707	0.15
YDL177C	0.0583	0.3129	0.1864
YLR314C	0.0233	0.3143	0.074
YDR478W	0.1083	0.4894	0.2213
YKL104C	0.0013	0.2951	0.0045
YNL307C	0.0065	0.251	0.0259
YOL019W-A	0.1709	0.0017	99.0
YDR432W	0.0083	0.2127	0.0389
YDR296W	0.0361	0.4231	0.0852
YDL171C	0.0082	0.3671	0.0224
YKL116C	0.0488	0.3655	0.1335
YLR328W	0.0058	0.3407	0.0171
YIL026C	0.0337	0.3808	0.0886
YDL060W	0.0274	0.5097	0.0538
YPL245W	0.0231	0.303	0.0761
YKL176C	0.028	0.4308	0.0651
YMR284W	0.0518	0.5606	0.0924
